"","date","precip","maxtemp","mintemp","year","month","day"
"1",2017-01-01,0,51,40,2017,1,1
"2",2017-01-02,0,51,40,2017,1,2
"3",2017-01-03,0.670000016689301,50,44,2017,1,3
"4",2017-01-04,1.04999995231628,54,43,2017,1,4
"5",2017-01-05,0.159999996423721,49,35,2017,1,5
"6",2017-01-06,0,46,33,2017,1,6
"7",2017-01-07,0.959999978542328,59,32,2017,1,7
"8",2017-01-08,1.74000000953674,60,56,2017,1,8
"9",2017-01-09,1.58000004291534,58,50,2017,1,9
"10",2017-01-10,0.970000028610229,57,42,2017,1,10
"11",2017-01-11,1.73000001907349,57,48,2017,1,11
"12",2017-01-12,0.360000014305115,50,44,2017,1,12
"13",2017-01-13,0.0199999995529652,57,34,2017,1,13
"14",2017-01-14,0,53,34,2017,1,14
"15",2017-01-15,0,51,36,2017,1,15
"16",2017-01-16,0,51,33,2017,1,16
"17",2017-01-17,0.00999999977648258,44,34,2017,1,17
"18",2017-01-18,0.0799999982118607,50,34,2017,1,18
"19",2017-01-19,1.14999997615814,57,21,2017,1,19
"20",2017-01-20,1,57,40,2017,1,20
"21",2017-01-21,0.0799999982118607,55,45,2017,1,21
"22",2017-01-22,0.949999988079071,56,44,2017,1,22
"23",2017-01-23,0.769999980926514,54,33,2017,1,23
"24",2017-01-24,0.00999999977648258,53,39,2017,1,24
"25",2017-01-25,0,55,43,2017,1,25
"26",2017-01-26,0,56,36,2017,1,26
"27",2017-01-27,0,58,39,2017,1,27
"28",2017-01-28,0,58,34,2017,1,28
"29",2017-01-29,0,60,33,2017,1,29
"30",2017-01-30,0,61,33,2017,1,30
"31",2017-01-31,0,57,34,2017,1,31
"32",2017-02-01,0,53,37,2017,2,1
"33",2017-02-02,0.349999994039536,62,41,2017,2,2
"34",2017-02-03,1.73000001907349,60,36,2017,2,3
"35",2017-02-04,0.340000003576279,59,50,2017,2,4
"36",2017-02-05,0.0199999995529652,60,47,2017,2,5
"37",2017-02-06,0.649999976158142,58,48,2017,2,6
"38",2017-02-07,1.27999997138977,65,56,2017,2,7
"39",2017-02-08,0.349999994039536,64,56,2017,2,8
"40",2017-02-09,0.0799999982118607,62,57,2017,2,9
"41",2017-02-10,0.419999986886978,65,52,2017,2,10
"42",2017-02-11,0,62,45,2017,2,11
"43",2017-02-12,0,61,45,2017,2,12
"44",2017-02-13,0,62,38,2017,2,13
"45",2017-02-14,0,68,40,2017,2,14
"46",2017-02-15,0,61,43,2017,2,15
"47",2017-02-16,0.119999997317791,61,50,2017,2,16
"48",2017-02-17,0.219999998807907,58,50,2017,2,17
"49",2017-02-18,1.16999995708466,60,43,2017,2,18
"50",2017-02-19,0.949999988079071,55,46,2017,2,19
"51",2017-02-20,0.800000011920929,58,51,2017,2,20
"52",2017-02-21,0.949999988079071,61,42,2017,2,21
"53",2017-02-22,0.00999999977648258,58,39,2017,2,22
"54",2017-02-23,0,55,34,2017,2,23
