Year,Unemployment Rate
1975,8.5
1976,7.7
1977,7.1
1978,6.1
1979,5.8
1980,7.1
1981,7.6
1982,9.7
1983,9.6
1984,7.5
1985,7.2
1986,7
1987,6.2
1988,5.5
1989,5.3
1990,5.6
1991,6.8
1992,7.5
1993,6.9
1994,6.1
1995,5.6
1996,5.4
1997,4.9
1998,4.5
1999,4.2
2000,4
2001,4.7
2002,5.8
2003,6
2004,5.5
2005,5.1
2006,4.6
2007,4.6
2008,5.8
2009,9.3
2010,9.6
2011,8.9
2012,8.1
2013,7.4
2014,6.2
2015,5.3
2016,4.9
2017,4.4
2018,3.9
2019,3.7
2018: Jan.,4.1
    Feb.,4.1
    Mar.,4
    Apr.,4
    May.,3.8
    June.,4
    July.,3.8
    Aug.,3.8
    Sept.,3.7
    Oct.,3.8
    Nov.,3.7
    Dec.,3.9
2019: Jan.,4
    Feb.,3.8
    Mar.,3.8
    Apr.,3.6
    May.,3.6
    June.,3.7
    July.,3.7
    Aug.,3.7
    Sept.,3.5
    Oct.,3.6
    Nov.,3.5
    Dec.,3.5
