"","Yr","Unemployment.Rate"
"1",1975,8.5
"2",1976,7.7
"3",1977,7.1
"4",1978,6.1
"5",1979,5.8
"6",1980,7.1
"7",1981,7.6
"8",1982,9.7
"9",1983,9.6
"10",1984,7.5
"11",1985,7.2
"12",1986,7
"13",1987,6.2
"14",1988,5.5
"15",1989,5.3
"16",1990,5.6
"17",1991,6.8
"18",1992,7.5
"19",1993,6.9
"20",1994,6.1
"21",1995,5.6
"22",1996,5.4
"23",1997,4.9
"24",1998,4.5
"25",1999,4.2
"26",2000,4
"27",2001,4.7
"28",2002,5.8
"29",2003,6
"30",2004,5.5
"31",2005,5.1
"32",2006,4.6
"33",2007,4.6
"34",2008,5.8
"35",2009,9.3
"36",2010,9.6
"37",2011,8.9
"38",2012,8.1
"39",2013,7.4
"40",2014,6.2
"41",2015,5.3
"42",2016,4.9
"43",2017,4.4
"44",2018,3.9
"45",2019,3.7
