"","Yr","GDP"
"7",1975,2.6
"8",1976,4.3
"9",1977,5
"10",1978,6.7
"11",1979,1.3
"12",1980,0
"13",1981,1.3
"14",1982,-1.4
"15",1983,7.9
"16",1984,5.6
"17",1985,4.2
"18",1986,2.9
"19",1987,4.5
"20",1988,3.8
"21",1989,2.7
"22",1990,0.6
"23",1991,1.2
"24",1992,4.4
"25",1993,2.6
"26",1994,4.1
"27",1995,2.2
"28",1996,4.4
"29",1997,4.5
"30",1998,4.9
"31",1999,4.8
"32",2000,3
"33",2001,0.2
"34",2002,2.1
"35",2003,4.3
"36",2004,3.3
"37",2005,3.1
"38",2006,2.6
"39",2007,2
"40",2008,-2.8
"41",2009,0.2
"42",2010,2.6
"43",2011,1.6
"44",2012,1.5
"45",2013,2.6
"46",2014,2.9
"47",2015,1.9
"48",2016,2
"49",2017,2.8
"50",2018,2.5
"51",2019,2.3
